,game_id,game_date,home_team,away_team,home_score,away_score,total_score,overtime,venue,win_team,lose_team
1940,2024020297,2024-11-19,WPG,FLA,6,3,9,False,Canada Life Centre,WPG,FLA
1941,2024020298,2024-11-19,CHI,ANA,2,3,5,False,United Center,ANA,CHI
1942,2024020299,2024-11-19,CGY,NYI,2,1,3,True,Scotiabank Saddledome,CGY,NYI
1943,2024020300,2024-11-19,VAN,NYR,3,4,7,False,Rogers Arena,NYR,VAN
1988,2024020301,2024-11-20,TOR,VGK,3,0,3,False,Scotiabank Arena,TOR,VGK
1989,2024020302,2024-11-20,PHI,CAR,1,4,5,False,Wells Fargo Center,CAR,PHI
1990,2024020303,2024-11-20,DAL,SJS,5,2,7,False,American Airlines Center,DAL,SJS
1991,2024020304,2024-11-20,SEA,NSH,3,0,3,False,Climate Pledge Arena,SEA,NSH
1992,2024020305,2024-11-20,LAK,BUF,0,1,1,False,Crypto.com Arena,BUF,LAK
2032,2024020306,2024-11-21,BOS,UTA,1,0,1,False,TD Garden,BOS,UTA
2033,2024020307,2024-11-21,OTT,VGK,2,3,5,False,Canadian Tire Centre,VGK,OTT
2034,2024020308,2024-11-21,DET,NYI,2,1,3,False,Little Caesars Arena,DET,NYI
2035,2024020309,2024-11-21,NJD,CAR,4,2,6,False,Prudential Center,NJD,CAR
2036,2024020310,2024-11-21,WSH,COL,1,2,3,False,Capital One Arena,COL,WSH
2037,2024020311,2024-11-21,CBJ,TBL,7,6,13,True,Nationwide Arena,CBJ,TBL
2038,2024020312,2024-11-21,STL,SJS,3,2,5,True,Enterprise Center,STL,SJS
2039,2024020313,2024-11-21,CHI,FLA,3,1,4,False,United Center,CHI,FLA
2040,2024020314,2024-11-21,CGY,NYR,3,2,5,False,Scotiabank Saddledome,CGY,NYR
2041,2024020315,2024-11-21,EDM,MIN,3,5,8,False,Rogers Place,MIN,EDM
2086,2024020316,2024-11-22,PIT,WPG,1,4,5,False,PPG Paints Arena,WPG,PIT
2087,2024020317,2024-11-22,ANA,BUF,2,3,5,True,Honda Center,BUF,ANA
2122,2024020318,2024-11-23,PHI,CHI,3,2,5,True,Wells Fargo Center,PHI,CHI
2123,2024020319,2024-11-23,CGY,MIN,4,3,7,True,Scotiabank Saddledome,CGY,MIN
2124,2024020320,2024-11-23,LAK,SEA,2,1,3,False,Crypto.com Arena,LAK,SEA
2125,2024020321,2024-11-23,FLA,COL,4,7,11,False,Amerant Bank Arena,COL,FLA
2126,2024020322,2024-11-23,MTL,VGK,2,6,8,False,Centre Bell,VGK,MTL
2127,2024020323,2024-11-23,OTT,VAN,3,4,7,False,Canadian Tire Centre,VAN,OTT
2128,2024020324,2024-11-23,DET,BOS,1,2,3,False,Little Caesars Arena,BOS,DET
2129,2024020325,2024-11-23,TBL,DAL,2,4,6,False,Amalie Arena,DAL,TBL
2130,2024020326,2024-11-23,PIT,UTA,1,6,7,False,PPG Paints Arena,UTA,PIT
2131,2024020327,2024-11-23,WSH,NJD,2,3,5,False,Capital One Arena,NJD,WSH
2132,2024020328,2024-11-23,CBJ,CAR,5,4,9,True,Nationwide Arena,CBJ,CAR
2133,2024020329,2024-11-23,NSH,WPG,4,1,5,False,Bridgestone Arena,NSH,WPG
2134,2024020330,2024-11-23,NYI,STL,3,1,4,False,UBS Arena,NYI,STL
2135,2024020331,2024-11-23,SJS,BUF,2,4,6,False,SAP Center at San Jose,BUF,SJS
2136,2024020332,2024-11-23,EDM,NYR,6,2,8,False,Rogers Place,EDM,NYR
2182,2024020333,2024-11-24,TOR,UTA,3,2,5,False,Scotiabank Arena,TOR,UTA
2223,2024020334,2024-11-25,TBL,COL,8,2,10,False,Amalie Arena,TBL,COL
2224,2024020335,2024-11-25,FLA,WSH,1,4,5,False,Amerant Bank Arena,WSH,FLA
2225,2024020336,2024-11-25,NJD,NSH,5,2,7,False,Prudential Center,NJD,NSH
2226,2024020337,2024-11-25,NYR,STL,2,5,7,False,Madison Square Garden,STL,NYR
2227,2024020338,2024-11-25,PHI,VGK,4,5,9,True,Wells Fargo Center,VGK,PHI
2228,2024020339,2024-11-25,CAR,DAL,6,4,10,False,Lenovo Center,CAR,DAL
2229,2024020340,2024-11-25,OTT,CGY,4,3,7,False,Canadian Tire Centre,OTT,CGY
2230,2024020341,2024-11-25,NYI,DET,2,4,6,False,UBS Arena,DET,NYI
2231,2024020342,2024-11-25,MIN,WPG,1,4,5,False,Xcel Energy Center,WPG,MIN
2232,2024020343,2024-11-25,ANA,SEA,2,3,5,False,Honda Center,SEA,ANA
2233,2024020344,2024-11-25,SJS,LAK,7,2,9,False,SAP Center at San Jose,SJS,LAK
2278,2024020345,2024-11-26,BOS,VAN,0,2,2,False,TD Garden,VAN,BOS
2279,2024020346,2024-11-26,MTL,UTA,2,3,5,True,Centre Bell,UTA,MTL
2321,2024020347,2024-11-27,BUF,MIN,0,1,1,False,KeyBank Center,MIN,BUF
2322,2024020348,2024-11-27,NJD,STL,0,3,3,False,Prudential Center,STL,NJD
2323,2024020349,2024-11-27,CAR,NYR,4,3,7,False,Lenovo Center,CAR,NYR
2324,2024020350,2024-11-27,DET,CGY,2,1,3,True,Little Caesars Arena,DET,CGY
2325,2024020351,2024-11-27,TBL,WSH,4,5,9,False,Amalie Arena,WSH,TBL
2326,2024020352,2024-11-27,FLA,TOR,5,1,6,False,Amerant Bank Arena,FLA,TOR
2327,2024020353,2024-11-27,NYI,BOS,3,6,9,False,UBS Arena,BOS,NYI
2328,2024020354,2024-11-27,PIT,VAN,5,4,9,False,PPG Paints Arena,PIT,VAN
2329,2024020355,2024-11-27,CBJ,MTL,3,4,7,True,Nationwide Arena,MTL,CBJ
2330,2024020356,2024-11-27,NSH,PHI,2,3,5,True,Bridgestone Arena,PHI,NSH
2331,2024020357,2024-11-27,CHI,DAL,6,2,8,False,United Center,CHI,DAL
2332,2024020358,2024-11-27,COL,VGK,2,1,3,True,Ball Arena,COL,VGK
2333,2024020359,2024-11-27,LAK,WPG,4,1,5,False,Crypto.com Arena,LAK,WPG
2334,2024020360,2024-11-27,SEA,ANA,2,5,7,False,Climate Pledge Arena,ANA,SEA
2335,2024020361,2024-11-27,SJS,OTT,3,4,7,False,SAP Center at San Jose,OTT,SJS
2426,2024020362,2024-11-29,PHI,NYR,3,1,4,False,Wells Fargo Center,PHI,NYR
2427,2024020363,2024-11-29,MIN,CHI,3,2,5,False,Xcel Energy Center,MIN,CHI
2428,2024020364,2024-11-29,BUF,VAN,3,4,7,True,KeyBank Center,VAN,BUF
2429,2024020365,2024-11-29,DET,NJD,4,5,9,False,Little Caesars Arena,NJD,DET
2430,2024020366,2024-11-29,WSH,NYI,5,4,9,True,Capital One Arena,WSH,NYI
2431,2024020367,2024-11-29,CAR,FLA,3,6,9,False,Lenovo Center,FLA,CAR
2432,2024020368,2024-11-29,CBJ,CGY,5,2,7,False,Nationwide Arena,CBJ,CGY
2433,2024020369,2024-11-29,NSH,TBL,2,3,5,True,Bridgestone Arena,TBL,NSH
2434,2024020370,2024-11-29,ANA,LAK,1,2,3,False,Honda Center,LAK,ANA
2435,2024020371,2024-11-29,SJS,SEA,8,5,13,False,SAP Center at San Jose,SJS,SEA
2436,2024020372,2024-11-29,BOS,PIT,1,2,3,False,TD Garden,PIT,BOS
2437,2024020374,2024-11-29,VGK,WPG,4,3,7,False,T-Mobile Arena,VGK,WPG
2438,2024020373,2024-11-29,DAL,COL,5,3,8,False,American Airlines Center,DAL,COL
2439,2024020375,2024-11-29,UTA,EDM,3,4,7,True,Delta Center,EDM,UTA
2483,2024020376,2024-11-30,NYR,MTL,4,3,7,False,Madison Square Garden,NYR,MTL
2484,2024020377,2024-11-30,FLA,CAR,6,0,6,False,Amerant Bank Arena,FLA,CAR
2485,2024020378,2024-11-30,TBL,TOR,3,5,8,False,Amalie Arena,TOR,TBL
2486,2024020379,2024-11-30,NJD,WSH,5,6,11,False,Prudential Center,WSH,NJD
2487,2024020380,2024-11-30,PIT,CGY,6,2,8,False,PPG Paints Arena,PIT,CGY
2488,2024020381,2024-11-30,STL,PHI,2,3,5,True,Enterprise Center,PHI,STL
2489,2024020382,2024-11-30,LAK,OTT,5,2,7,False,Crypto.com Arena,LAK,OTT
2490,2024020383,2024-11-30,NYI,BUF,3,0,3,False,UBS Arena,NYI,BUF
2491,2024020384,2024-11-30,MIN,NSH,3,2,5,True,Xcel Energy Center,MIN,NSH
2492,2024020385,2024-11-30,COL,EDM,1,4,5,False,Ball Arena,EDM,COL
2493,2024020386,2024-11-30,VGK,UTA,0,6,6,False,T-Mobile Arena,UTA,VGK
2494,2024020387,2024-11-30,SEA,SJS,2,4,6,False,Climate Pledge Arena,SJS,SEA
2549,2024020388,2024-12-01,DET,VAN,4,5,9,True,Little Caesars Arena,VAN,DET
2550,2024020389,2024-12-01,BOS,MTL,6,3,9,False,TD Garden,BOS,MTL
2551,2024020390,2024-12-01,CHI,CBJ,3,6,9,False,United Center,CBJ,CHI
2552,2024020391,2024-12-01,DAL,WPG,3,1,4,False,American Airlines Center,DAL,WPG
2553,2024020392,2024-12-01,ANA,OTT,4,3,7,True,Honda Center,ANA,OTT
2602,2024020393,2024-12-02,NYR,NJD,1,5,6,False,Madison Square Garden,NJD,NYR
2603,2024020394,2024-12-02,TOR,CHI,4,1,5,False,Scotiabank Arena,TOR,CHI
2604,2024020395,2024-12-02,UTA,DAL,1,2,3,False,Delta Center,DAL,UTA
2654,2024020396,2024-12-03,BOS,DET,3,2,5,True,TD Garden,BOS,DET
2655,2024020397,2024-12-03,BUF,COL,4,5,9,False,KeyBank Center,COL,BUF
2656,2024020398,2024-12-03,MTL,NYI,2,1,3,True,Centre Bell,MTL,NYI
2657,2024020399,2024-12-03,PIT,FLA,5,4,9,True,PPG Paints Arena,PIT,FLA
2658,2024020400,2024-12-03,WSH,SJS,1,2,3,True,Capital One Arena,SJS,WSH
2659,2024020401,2024-12-03,CAR,SEA,2,4,6,False,Lenovo Center,SEA,CAR
2660,2024020402,2024-12-03,MIN,VAN,3,2,5,True,Xcel Energy Center,MIN,VAN
2661,2024020403,2024-12-03,WPG,STL,1,4,5,False,Canada Life Centre,STL,WPG
2662,2024020404,2024-12-03,CGY,CBJ,3,0,3,False,Scotiabank Saddledome,CGY,CBJ
2663,2024020405,2024-12-03,VGK,EDM,1,0,1,False,T-Mobile Arena,VGK,EDM
2708,2024020406,2024-12-04,TOR,NSH,3,2,5,False,Scotiabank Arena,TOR,NSH
2709,2024020407,2024-12-04,CHI,BOS,2,4,6,False,United Center,BOS,CHI
2710,2024020408,2024-12-04,ANA,VGK,1,4,5,False,Honda Center,VGK,ANA
2711,2024020409,2024-12-04,LAK,DAL,3,2,5,False,Crypto.com Arena,LAK,DAL
2760,2024020410,2024-12-05,BUF,WPG,2,3,5,True,KeyBank Center,WPG,BUF
2761,2024020411,2024-12-05,MTL,NSH,3,0,3,False,Centre Bell,MTL,NSH
2762,2024020412,2024-12-05,OTT,DET,2,1,3,False,Canadian Tire Centre,OTT,DET
2763,2024020413,2024-12-05,TBL,SJS,8,1,9,False,Amalie Arena,TBL,SJS
2764,2024020414,2024-12-05,PHI,FLA,5,7,12,False,Wells Fargo Center,FLA,PHI
2765,2024020415,2024-12-05,CAR,COL,5,3,8,False,Lenovo Center,CAR,COL
2766,2024020416,2024-12-05,NYI,SEA,2,5,7,False,UBS Arena,SEA,NYI
2767,2024020417,2024-12-05,CGY,STL,3,4,7,True,Scotiabank Saddledome,STL,CGY
2768,2024020418,2024-12-05,EDM,CBJ,6,3,9,False,Rogers Place,EDM,CBJ
2812,2024020419,2024-12-06,TOR,WSH,1,3,4,False,Scotiabank Arena,WSH,TOR
2813,2024020420,2024-12-06,NJD,SEA,3,2,5,False,Prudential Center,NJD,SEA
2814,2024020421,2024-12-06,NYR,PIT,4,2,6,False,Madison Square Garden,NYR,PIT
2815,2024020422,2024-12-06,VAN,CBJ,5,2,7,False,Rogers Arena,VAN,CBJ
2816,2024020423,2024-12-06,VGK,DAL,3,2,5,False,T-Mobile Arena,VGK,DAL
2817,2024020424,2024-12-06,ANA,MIN,1,5,6,False,Honda Center,MIN,ANA
2855,2024020425,2024-12-07,BOS,PHI,4,3,7,True,TD Garden,BOS,PHI
2856,2024020426,2024-12-07,BUF,UTA,2,5,7,False,KeyBank Center,UTA,BUF
2857,2024020427,2024-12-07,CHI,WPG,2,4,6,False,United Center,WPG,CHI
2858,2024020428,2024-12-07,NYI,CAR,4,3,7,False,UBS Arena,NYI,CAR
2859,2024020429,2024-12-07,FLA,SJS,3,1,4,False,Amerant Bank Arena,FLA,SJS
2860,2024020430,2024-12-07,MTL,WSH,2,4,6,False,Centre Bell,WSH,MTL
2861,2024020431,2024-12-07,OTT,NSH,3,1,4,False,Canadian Tire Centre,OTT,NSH
2862,2024020432,2024-12-07,DET,COL,1,2,3,False,Little Caesars Arena,COL,DET
2863,2024020433,2024-12-07,PIT,TOR,5,2,7,False,PPG Paints Arena,PIT,TOR
2864,2024020434,2024-12-07,LAK,MIN,4,1,5,False,Crypto.com Arena,LAK,MIN
2865,2024020435,2024-12-07,EDM,STL,4,2,6,False,Rogers Place,EDM,STL
2909,2024020436,2024-12-08,NYR,SEA,5,7,12,False,Madison Square Garden,SEA,NYR
2910,2024020437,2024-12-08,VAN,TBL,2,4,6,False,Rogers Arena,TBL,VAN
2911,2024020438,2024-12-08,OTT,NYI,2,4,6,False,Canadian Tire Centre,NYI,OTT
2912,2024020439,2024-12-08,WPG,CBJ,1,4,5,False,Canada Life Centre,CBJ,WPG
2913,2024020440,2024-12-08,NJD,COL,0,4,4,False,Prudential Center,COL,NJD
2914,2024020441,2024-12-08,PHI,UTA,2,4,6,False,Wells Fargo Center,UTA,PHI
2915,2024020442,2024-12-08,DAL,CGY,6,2,8,False,American Airlines Center,DAL,CGY
2963,2024020443,2024-12-09,BUF,DET,5,6,11,True,KeyBank Center,DET,BUF
2964,2024020444,2024-12-09,NYR,CHI,1,2,3,False,Madison Square Garden,CHI,NYR
2965,2024020445,2024-12-09,MTL,ANA,3,2,5,True,Centre Bell,MTL,ANA
3006,2024020446,2024-12-10,NJD,TOR,1,2,3,True,Prudential Center,TOR,NJD
3007,2024020447,2024-12-10,PIT,COL,2,6,8,False,PPG Paints Arena,COL,PIT
3008,2024020448,2024-12-10,CAR,SJS,3,2,5,False,Lenovo Center,CAR,SJS
3009,2024020449,2024-12-10,CBJ,PHI,3,5,8,False,Nationwide Arena,PHI,CBJ
3010,2024020450,2024-12-10,NYI,LAK,1,3,4,False,UBS Arena,LAK,NYI
3011,2024020451,2024-12-10,NSH,CGY,3,4,7,False,Bridgestone Arena,CGY,NSH
3012,2024020452,2024-12-10,WPG,BOS,8,1,9,False,Canada Life Centre,WPG,BOS
3013,2024020453,2024-12-10,EDM,TBL,2,1,3,False,Rogers Place,EDM,TBL
3014,2024020454,2024-12-10,UTA,MIN,4,5,9,True,Delta Center,MIN,UTA
3015,2024020455,2024-12-10,VAN,STL,3,4,7,True,Rogers Arena,STL,VAN
3016,2024020456,2024-12-10,SEA,FLA,1,2,3,True,Climate Pledge Arena,FLA,SEA
3064,2024020457,2024-12-11,BUF,NYR,2,3,5,False,KeyBank Center,NYR,BUF
3065,2024020458,2024-12-11,OTT,ANA,5,1,6,False,Canadian Tire Centre,OTT,ANA
3106,2024020459,2024-12-12,TOR,ANA,3,2,5,False,Scotiabank Arena,TOR,ANA
3107,2024020460,2024-12-12,MTL,PIT,2,9,11,False,Centre Bell,PIT,MTL
3108,2024020461,2024-12-12,NJD,LAK,3,1,4,False,Prudential Center,NJD,LAK
3109,2024020462,2024-12-12,PHI,DET,4,1,5,False,Wells Fargo Center,PHI,DET
3110,2024020463,2024-12-12,CBJ,WSH,1,2,3,True,Nationwide Arena,WSH,CBJ
3111,2024020464,2024-12-12,NYI,CHI,5,4,9,False,UBS Arena,NYI,CHI
3112,2024020465,2024-12-12,STL,SJS,3,4,7,False,Enterprise Center,SJS,STL
3113,2024020466,2024-12-12,DAL,NSH,1,4,5,False,American Airlines Center,NSH,DAL
3114,2024020468,2024-12-12,WPG,VGK,2,3,5,True,Canada Life Centre,VGK,WPG
3115,2024020467,2024-12-12,MIN,EDM,1,7,8,False,Xcel Energy Center,EDM,MIN
3116,2024020469,2024-12-12,COL,UTA,1,4,5,False,Ball Arena,UTA,COL
3117,2024020470,2024-12-12,CGY,TBL,3,8,11,False,Scotiabank Saddledome,TBL,CGY
3118,2024020471,2024-12-12,VAN,FLA,4,0,4,False,Rogers Arena,VAN,FLA
3119,2024020472,2024-12-12,SEA,BOS,5,1,6,False,Climate Pledge Arena,SEA,BOS
3168,2024020473,2024-12-13,CAR,OTT,0,3,3,False,Lenovo Center,OTT,CAR
3207,2024020474,2024-12-14,NJD,CHI,4,1,5,False,Prudential Center,NJD,CHI
3208,2024020475,2024-12-14,NYR,LAK,1,5,6,False,Madison Square Garden,LAK,NYR
3209,2024020476,2024-12-14,MIN,PHI,4,1,5,False,Xcel Energy Center,MIN,PHI
3210,2024020477,2024-12-14,EDM,VGK,6,3,9,False,Rogers Place,EDM,VGK
3211,2024020478,2024-12-14,OTT,PIT,3,2,5,True,Canadian Tire Centre,OTT,PIT
3212,2024020479,2024-12-14,DET,TOR,4,2,6,False,Little Caesars Arena,DET,TOR
3213,2024020480,2024-12-14,WSH,BUF,4,2,6,False,Capital One Arena,WSH,BUF
3214,2024020481,2024-12-14,CBJ,ANA,3,4,7,True,Nationwide Arena,ANA,CBJ
3215,2024020482,2024-12-14,WPG,MTL,4,2,6,False,Canada Life Centre,WPG,MTL
3216,2024020483,2024-12-14,DAL,STL,2,1,3,True,American Airlines Center,DAL,STL
3217,2024020484,2024-12-14,COL,NSH,5,2,7,False,Ball Arena,COL,NSH
3218,2024020485,2024-12-14,CGY,FLA,3,0,3,False,Scotiabank Saddledome,CGY,FLA
3219,2024020486,2024-12-14,VAN,BOS,1,5,6,False,Rogers Arena,BOS,VAN
3220,2024020487,2024-12-14,SJS,UTA,3,4,7,False,SAP Center at San Jose,UTA,SJS
3221,2024020488,2024-12-14,SEA,TBL,1,5,6,False,Climate Pledge Arena,TBL,SEA
3268,2024020489,2024-12-15,CHI,NYI,5,3,8,False,United Center,CHI,NYI
3269,2024020490,2024-12-15,TOR,BUF,5,3,8,False,Scotiabank Arena,TOR,BUF
3270,2024020491,2024-12-15,CAR,CBJ,4,1,5,False,Lenovo Center,CAR,CBJ
3271,2024020492,2024-12-15,STL,NYR,3,2,5,False,Enterprise Center,STL,NYR
3272,2024020493,2024-12-15,MIN,VGK,2,3,5,False,Xcel Energy Center,VGK,MIN
3321,2024020494,2024-12-16,DAL,WSH,3,1,4,False,American Airlines Center,DAL,WSH
3322,2024020495,2024-12-16,EDM,FLA,5,6,11,False,Rogers Place,FLA,EDM
3323,2024020496,2024-12-16,VAN,COL,3,1,4,False,Rogers Arena,VAN,COL
3364,2024020497,2024-12-17,MTL,BUF,6,1,7,False,Centre Bell,MTL,BUF
3365,2024020498,2024-12-17,TBL,CBJ,5,3,8,False,Amalie Arena,TBL,CBJ
3366,2024020499,2024-12-17,PIT,LAK,3,2,5,True,PPG Paints Arena,PIT,LAK
3367,2024020500,2024-12-17,CAR,NYI,4,0,4,False,Lenovo Center,CAR,NYI
3368,2024020501,2024-12-17,STL,NJD,1,4,5,False,Enterprise Center,NJD,STL
3369,2024020502,2024-12-17,NSH,NYR,2,0,2,False,Bridgestone Arena,NSH,NYR
3370,2024020503,2024-12-17,CHI,WSH,3,2,5,False,United Center,CHI,WSH
3371,2024020504,2024-12-17,CGY,BOS,3,4,7,True,Scotiabank Saddledome,BOS,CGY
3372,2024020505,2024-12-17,SEA,OTT,0,3,3,False,Climate Pledge Arena,OTT,SEA
3373,2024020506,2024-12-17,SJS,WPG,3,4,7,False,SAP Center at San Jose,WPG,SJS
3422,2024020507,2024-12-18,DET,PHI,6,4,10,False,Little Caesars Arena,DET,PHI
3423,2024020508,2024-12-18,DAL,TOR,3,5,8,False,American Airlines Center,TOR,DAL
3424,2024020509,2024-12-18,MIN,FLA,1,6,7,False,Xcel Energy Center,FLA,MIN
3425,2024020510,2024-12-18,UTA,VAN,3,2,5,True,Delta Center,UTA,VAN
3426,2024020511,2024-12-18,ANA,WPG,3,2,5,False,Honda Center,ANA,WPG
3466,2024020512,2024-12-19,TBL,STL,3,1,4,False,Amalie Arena,TBL,STL
3467,2024020514,2024-12-19,CBJ,NJD,4,2,6,False,Nationwide Arena,CBJ,NJD
3468,2024020513,2024-12-19,PHI,LAK,3,7,10,False,Wells Fargo Center,LAK,PHI
3469,2024020515,2024-12-19,NSH,PIT,4,5,9,True,Bridgestone Arena,PIT,NSH
3470,2024020516,2024-12-19,CHI,SEA,3,1,4,False,United Center,CHI,SEA
3471,2024020517,2024-12-19,CGY,OTT,2,3,5,True,Scotiabank Saddledome,OTT,CGY
3472,2024020518,2024-12-19,EDM,BOS,3,2,5,True,Rogers Place,EDM,BOS
3473,2024020519,2024-12-19,VGK,VAN,3,1,4,False,T-Mobile Arena,VGK,VAN
3474,2024020520,2024-12-19,SJS,COL,2,4,6,False,SAP Center at San Jose,COL,SJS
3522,2024020521,2024-12-20,BUF,TOR,3,6,9,False,KeyBank Center,TOR,BUF
3523,2024020522,2024-12-20,DET,MTL,3,4,7,False,Little Caesars Arena,MTL,DET
3524,2024020523,2024-12-20,FLA,STL,2,1,3,True,Amerant Bank Arena,FLA,STL
3525,2024020524,2024-12-20,WSH,CAR,3,1,4,False,Capital One Arena,WSH,CAR
3526,2024020525,2024-12-20,DAL,NYR,1,3,4,False,American Airlines Center,NYR,DAL
3527,2024020526,2024-12-20,MIN,UTA,1,2,3,False,Xcel Energy Center,UTA,MIN
3528,2024020527,2024-12-20,ANA,COL,2,4,6,False,Honda Center,COL,ANA
3568,2024020528,2024-12-21,NSH,LAK,3,2,5,True,Bridgestone Arena,NSH,LAK
3569,2024020529,2024-12-21,CGY,CHI,6,4,10,False,Scotiabank Saddledome,CGY,CHI
3570,2024020530,2024-12-21,EDM,SJS,3,2,5,True,Rogers Place,EDM,SJS
3571,2024020531,2024-12-21,BOS,BUF,3,1,4,False,TD Garden,BOS,BUF
3572,2024020532,2024-12-21,TOR,NYI,3,6,9,False,Scotiabank Arena,NYI,TOR
3573,2024020533,2024-12-21,MTL,DET,5,1,6,False,Centre Bell,MTL,DET
3574,2024020534,2024-12-21,NJD,PIT,3,0,3,False,Prudential Center,NJD,PIT
3575,2024020535,2024-12-21,PHI,CBJ,5,4,9,True,Wells Fargo Center,PHI,CBJ
3576,2024020536,2024-12-21,WPG,MIN,5,0,5,False,Canada Life Centre,WPG,MIN
3577,2024020537,2024-12-21,VAN,OTT,4,5,9,True,Rogers Arena,OTT,VAN
3578,2024020538,2024-12-21,VGK,SEA,6,2,8,False,T-Mobile Arena,VGK,SEA
3624,2024020539,2024-12-22,NYR,CAR,1,3,4,False,Madison Square Garden,CAR,NYR
3625,2024020540,2024-12-22,TBL,FLA,2,4,6,False,Amalie Arena,FLA,TBL
3626,2024020541,2024-12-22,WSH,LAK,3,1,4,False,Capital One Arena,WSH,LAK
3627,2024020542,2024-12-22,UTA,ANA,4,5,9,True,Delta Center,ANA,UTA
3628,2024020543,2024-12-22,COL,SEA,5,2,7,False,Ball Arena,COL,SEA
3629,2024020544,2024-12-22,EDM,OTT,3,1,4,False,Rogers Place,EDM,OTT
3678,2024020545,2024-12-23,NJD,NYR,5,0,5,False,Prudential Center,NJD,NYR
3679,2024020546,2024-12-23,TOR,WPG,2,5,7,False,Scotiabank Arena,WPG,TOR
3680,2024020547,2024-12-23,BOS,WSH,4,1,5,False,TD Garden,BOS,WSH
3681,2024020548,2024-12-23,DET,STL,0,4,4,False,Little Caesars Arena,STL,DET
3682,2024020549,2024-12-23,FLA,TBL,0,4,4,False,Amerant Bank Arena,TBL,FLA
3683,2024020550,2024-12-23,PIT,PHI,7,3,10,False,PPG Paints Arena,PIT,PHI
3684,2024020551,2024-12-23,CBJ,MTL,5,4,9,False,Nationwide Arena,CBJ,MTL
3685,2024020552,2024-12-23,NYI,BUF,1,7,8,False,UBS Arena,BUF,NYI
3686,2024020553,2024-12-23,NSH,CAR,5,2,7,False,Bridgestone Arena,NSH,CAR
3687,2024020554,2024-12-23,MIN,CHI,4,3,7,False,Xcel Energy Center,MIN,CHI
3688,2024020555,2024-12-23,VAN,SJS,4,3,7,False,Rogers Arena,VAN,SJS
3689,2024020556,2024-12-23,UTA,DAL,2,3,5,False,Delta Center,DAL,UTA
3690,2024020557,2024-12-23,VGK,ANA,3,1,4,False,T-Mobile Arena,VGK,ANA
3855,2024020558,2024-12-27,BUF,CHI,6,2,8,False,KeyBank Center,BUF,CHI
3856,2024020559,2024-12-27,DET,TOR,2,5,7,False,Little Caesars Arena,TOR,DET
3857,2024020560,2024-12-27,NJD,CAR,4,2,6,False,Prudential Center,NJD,CAR
3858,2024020561,2024-12-27,CBJ,BOS,6,2,8,False,Nationwide Arena,CBJ,BOS
3859,2024020562,2024-12-27,STL,NSH,7,4,11,False,Enterprise Center,STL,NSH
3860,2024020563,2024-12-27,DAL,MIN,2,3,5,True,American Airlines Center,MIN,DAL
3861,2024020564,2024-12-27,UTA,COL,1,4,5,False,Delta Center,COL,UTA
3862,2024020565,2024-12-27,SJS,VGK,3,6,9,False,SAP Center at San Jose,VGK,SJS
3890,2024020566,2024-12-28,FLA,MTL,0,4,4,False,Amerant Bank Arena,MTL,FLA
3891,2024020567,2024-12-28,VAN,SEA,4,5,9,True,Rogers Arena,SEA,VAN
3892,2024020568,2024-12-28,ANA,PHI,1,3,4,False,Honda Center,PHI,ANA
3893,2024020569,2024-12-28,LAK,EDM,4,3,7,True,Crypto.com Arena,LAK,EDM
3894,2024020570,2024-12-28,BOS,CBJ,4,0,4,False,TD Garden,BOS,CBJ
3895,2024020571,2024-12-28,TOR,WSH,2,5,7,False,Scotiabank Arena,WSH,TOR
3896,2024020572,2024-12-28,TBL,NYR,6,2,8,False,Amalie Arena,TBL,NYR
3897,2024020573,2024-12-28,CAR,NJD,5,2,7,False,Lenovo Center,CAR,NJD
3898,2024020574,2024-12-28,WPG,OTT,4,2,6,False,Canada Life Centre,WPG,OTT
3899,2024020575,2024-12-28,NYI,PIT,6,3,9,False,UBS Arena,NYI,PIT
3900,2024020576,2024-12-28,SJS,CGY,1,3,4,False,SAP Center at San Jose,CGY,SJS
3933,2024020582,2024-12-29,STL,BUF,2,4,6,False,Enterprise Center,BUF,STL
3934,2024020578,2024-12-29,ANA,EDM,5,3,8,False,Honda Center,ANA,EDM
3935,2024020579,2024-12-29,DET,WSH,4,2,6,False,Little Caesars Arena,DET,WSH
3936,2024020580,2024-12-29,TBL,MTL,2,5,7,False,Amalie Arena,MTL,TBL
3937,2024020581,2024-12-29,PIT,NYI,3,2,5,False,PPG Paints Arena,PIT,NYI
3938,2024020583,2024-12-29,MIN,OTT,1,3,4,False,Xcel Energy Center,OTT,MIN
3939,2024020584,2024-12-29,VGK,CGY,3,0,3,False,T-Mobile Arena,VGK,CGY
3940,2024020577,2024-12-29,CHI,DAL,1,5,6,False,United Center,DAL,CHI
3941,2024020585,2024-12-29,LAK,PHI,5,4,9,False,Crypto.com Arena,LAK,PHI
3970,2024020586,2024-12-30,FLA,NYR,5,3,8,False,Amerant Bank Arena,FLA,NYR
3971,2024020587,2024-12-30,WPG,NSH,3,0,3,False,Canada Life Centre,WPG,NSH
3972,2024020588,2024-12-30,SEA,UTA,5,2,7,False,Climate Pledge Arena,SEA,UTA
4004,2024020589,2024-12-31,WSH,BOS,3,1,4,False,Capital One Arena,WSH,BOS
4005,2024020590,2024-12-31,TOR,NYI,3,1,4,False,Scotiabank Arena,TOR,NYI
